"ID","SRV_ID","ORD_ID","DRV_ID","AUTO_ID","OPR_REG_ID","OPR_UPD_ID","RGN_ID","DVC_ID","BGN_RLY","END_RLY","TME_UPD","ABS_SEC","NM_ORD","NM_LGT","CALL","NOM","AUTO_CLR","AUTO_MDL","DST","FL_ONLINE","QUEUE","ST","MRK","ENB"
37194,249,0,12912,20953,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,57,0,"красный","Форд Фокус","Юго-восток","2","512677",9,0,1,0,0
37195,256,474743,12678,20727,0,1700,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",5,0,73,"н3**ра11","серебристый","ВАЗ 2115","Север","2",9,20,0,1,0
37200,246,474667,13182,26988,0,1804,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",7,0,62,"о1**кх11","синий","Опель-Астра","Север","2",9,20,0,1,0
37203,246,0,13168,21206,0,-1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,48,0,"черный","Лада Калина","0","2","513137",9,0,1,0,0
37204,249,474625,12966,21004,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,491,0,"вишневый","ВАЗ 2107","Юго-запад","2","513196",9,0,1,0,0
37205,245,474683,13274,21305,0,1820,4,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,1115,"о6**вм11","черный","Опель Астра Универсал","Юго-восток","2",9,20,0,1,0
37207,243,474615,13481,21509,0,1743,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,859,"о0**вм11","бежевый","Рено Логан","Север","2",9,20,0,1,0
37208,243,0,12809,20850,0,1743,1,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,359,"в3**он11","синий","ДЭУ","Центр","2",9,40,0,1,0
37209,256,474531,13685,23280,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,509,0,"серебристый","ВАЗ 2115","Юго-восток","2","513091",9,0,1,0,0
37210,256,474730,13663,26562,0,1700,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",6,0,69,"о3**кт","серебристо-беже","ВАЗ 2110","Юго-запад","2",9,20,0,1,0
37211,256,474691,12693,20742,0,1700,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,908,"н0**рн11","синий","ВАЗ 2107","Юго-запад","2",9,20,0,1,0
37212,249,474710,12864,20905,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,3,0,"темно-бордовый","ВАЗ 2112","Юго-запад","2","513284",9,0,1,0,0
37219,249,0,12972,21010,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,706,0,"серебристый","ВАЗ 2115","Север","2","513135",9,0,1,0,0
37221,246,473970,12607,20658,0,1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,3097,0,"песочный","Шевроле - Круз","Центр","2","512470",9,0,1,0,0
37224,256,0,13413,21442,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,2081,0,"красный","Лада Калина","Север","2","513176",9,0,1,0,0
37225,249,474568,12866,20907,0,1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,5,0,"черный","Форд Фокус","Центр","2","513129",9,0,1,0,0
37227,249,0,12956,26862,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,315,0,"темно-коричневы","Тайота","Юго-восток","2","512728",9,0,1,0,0
37228,246,474707,12830,20871,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,219,0,"серый","Фольцваген-поло","Север","2","513282",9,0,1,0,0
37231,249,474733,13263,21294,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,6,0,"черный","Хёндай Акцент","Юго-запад","2","513308",9,0,1,0,0
37233,256,0,13410,21439,0,1706,4,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,2074,"н7**ср11","черный","ВАЗ 2110","Юго-восток","2",9,10,0,1,0
